Year;Month;Day;Hour;Minute;Wind Speed daily mean;Wind Direction daily mean;Wind Speed daily max;Wind Speed daily min
2001;04;12;00;00;9.78;309.36;15.25;7.94
2001;04;13;00;00;12.75;96.33;22.01;7.03
2001;04;14;00;00;9.81;122.48;19.39;6.62
2001;04;15;00;00;24.41;245.19;40.53;12.51
2001;04;16;00;00;18.37;272.87;25.39;8.91
2001;04;17;00;00;7.37;293.38;9.87;2.85
2001;04;18;00;00;27.52;258.23;47.18;6.05
2001;04;19;00;00;12.23;295.71;22.33;4.66
2001;04;20;00;00;10.03;279.35;16.35;5.21
2001;04;21;00;00;10.96;202.99;16.39;5.83
2001;04;22;00;00;5.71;271.19;10.22;0.53
2001;04;23;00;00;10.38;185.57;31.85;5.25
2001;04;24;00;00;6.49;167.66;14.75;3.63
2001;04;25;00;00;8.95;183.36;27.43;2.86
2001;04;26;00;00;15.91;233.21;28.95;5.77
2001;04;27;00;00;9.72;220.05;17.28;4.56
2001;04;28;00;00;16.36;254.86;26.38;5.95
2001;04;29;00;00;4.60;150.73;7.78;1.56
2001;04;30;00;00;4.78;49.05;7.00;2.35
2001;05;01;00;00;7.87;235.91;18.92;2.46
2001;05;02;00;00;4.13;135.59;12.37;1.43
2001;05;03;00;00;6.67;266.29;12.94;2.85
2001;05;04;00;00;7.02;231.80;14.56;2.44
2001;05;05;00;00;7.32;329.07;10.28;4.93
2001;05;06;00;00;8.07;125.70;10.26;6.31
2001;05;07;00;00;7.22;13.58;10.06;5.63
2001;05;08;00;00;8.79;42.36;12.69;5.77
2001;05;09;00;00;5.91;82.14;11.93;2.21
2001;05;10;00;00;6.53;76.40;14.59;2.57
2001;05;11;00;00;11.88;57.51;22.63;4.36
2001;05;12;00;00;10.61;68.56;19.73;2.52
2001;05;13;00;00;5.45;168.86;8.46;3.33
2001;05;14;00;00;4.98;213.78;13.02;0.57
2001;05;15;00;00;6.52;231.52;13.93;2.10
2001;05;16;00;00;6.39;198.04;14.31;3.12
2001;05;17;00;00;5.93;213.27;9.53;3.13
2001;05;18;00;00;15.15;274.69;22.67;5.67
2001;05;19;00;00;7.06;128.24;13.27;3.14
2001;05;20;00;00;10.06;53.92;17.83;3.55
2001;05;21;00;00;12.79;45.87;21.31;5.27
2001;05;22;00;00;10.80;41.17;17.85;4.98
2001;05;23;00;00;4.77;113.42;7.80;0.24
2001;05;24;00;00;2.96;274.66;6.10;0.57
2001;05;25;00;00;4.79;137.74;8.02;1.61
2001;05;26;00;00;2.63;220.35;5.50;0.35
2001;05;27;00;00;7.16;251.33;11.60;2.34
2001;05;28;00;00;6.74;264.23;11.73;1.50
2001;05;29;00;00;6.33;260.86;12.37;1.26
2001;05;30;00;00;4.92;165.12;11.24;1.05
2001;05;31;00;00;9.87;277.31;17.12;0.57
2001;06;01;00;00;7.94;295.20;11.11;3.25
2001;06;02;00;00;18.99;248.73;26.39;5.38
2001;06;03;00;00;16.22;285.59;22.60;11.23
2001;06;04;00;00;7.69;245.35;11.58;2.71
